token_address,from_address,to_address,asset,amount,transfer_time,relation_type,source_type,confidence_score,evidence_note
4TKYts6M7Y1RzW6xbHo92anF2LBrRMiFFsANoTr9pump,58kdNQr9mN11DwtqieN4Qx2LbeXwbzmvoQKY94RQJDSi,DtZwogwQo8xZQrFygxfroYVkHFrmvFk9gN6jy6mCXc7,SOL/USDC unknown,unknown,unknown,pre_buy_funding_candidate,GMGN native_transfer L1,0.6,疑似资金来源候选；金额/时间需要链上补查
4TKYts6M7Y1RzW6xbHo92anF2LBrRMiFFsANoTr9pump,6rsTEQq5dQ2vCpoSwCgAnQyGiQmQZFjg3GeameN9zjbX,E91GYka1uTzxzKrgTRCtyrArBE1yb9UhV7VYvLPNdjst,SOL/USDC unknown,unknown,unknown,pre_buy_funding_candidate,GMGN native_transfer L1,0.6,疑似资金来源候选；金额/时间需要链上补查
4TKYts6M7Y1RzW6xbHo92anF2LBrRMiFFsANoTr9pump,5oTJKc3nDmZNN2xyDpybdxF3hjbgTs44Zk35zJbFfp2H,EePRQnGdv149P98VJZgCXxUpMG4SDdHB8NPSesAx3JaS,SOL/USDC unknown,unknown,unknown,pre_buy_funding_candidate,GMGN native_transfer L1,0.6,疑似资金来源候选；金额/时间需要链上补查
4TKYts6M7Y1RzW6xbHo92anF2LBrRMiFFsANoTr9pump,92MUhPtzt9yqKxPT99G3u2hwcnr4Sp9KSaUmKWBnJrJr,Eg4aocLxVYhvE41R47181sQZwwwwFcV89Y7RQm5sJ7Dv,SOL/USDC unknown,unknown,unknown,pre_buy_funding_candidate,GMGN native_transfer L1,0.6,疑似资金来源候选；金额/时间需要链上补查
4TKYts6M7Y1RzW6xbHo92anF2LBrRMiFFsANoTr9pump,5tzFkiKscXHK5ZXCGbXZxdw7gTjjD1mBwuoFbhUvuAi9,EyjwnxJhUrhZXmekxe7NakTEfnFKSHpHnZxu8MpTUcwg,SOL/USDC unknown,unknown,unknown,pre_buy_funding_candidate,GMGN native_transfer L1,0.6,疑似资金来源候选；金额/时间需要链上补查
4TKYts6M7Y1RzW6xbHo92anF2LBrRMiFFsANoTr9pump,8yV6emXGDqmHcpUgCLabjuZeN3NqZbMEa5T6PHFEwBLf,FCq8qBGS6QyQzKmKUdu3XPRGW8wGKiK3tBtkox3AKQp7,SOL/USDC unknown,unknown,unknown,pre_buy_funding_candidate,GMGN native_transfer L1,0.6,疑似资金来源候选；金额/时间需要链上补查
4TKYts6M7Y1RzW6xbHo92anF2LBrRMiFFsANoTr9pump,92MUhPtzt9yqKxPT99G3u2hwcnr4Sp9KSaUmKWBnJrJr,FFdn2wTHypfAkUo4XiWzjDDCjZKbAWumqTHa64NfqDKh,SOL/USDC unknown,unknown,unknown,pre_buy_funding_candidate,GMGN native_transfer L1,0.6,疑似资金来源候选；金额/时间需要链上补查
4TKYts6M7Y1RzW6xbHo92anF2LBrRMiFFsANoTr9pump,APSMNHpmF1mKByqEV4XU6QaabK5SFSaDTTTw59qxMYSs,FgjWwkDWFp21yoq9r33c6Ug9FGxCeggdr9UnYf8CzSWp,SOL/USDC unknown,unknown,unknown,pre_buy_funding_candidate,GMGN native_transfer L1,0.6,疑似资金来源候选；金额/时间需要链上补查
4TKYts6M7Y1RzW6xbHo92anF2LBrRMiFFsANoTr9pump,BuL6XpHTFse7XCRiHHBe9uKJknkCvqScVPR9fdVi7Btr,G4vKq5d3eYrqpXtVF6rJUmhDRidjEcRzvB8mM8fYovNd,SOL/USDC unknown,unknown,unknown,pre_buy_funding_candidate,GMGN native_transfer L1,0.6,疑似资金来源候选；金额/时间需要链上补查
4TKYts6M7Y1RzW6xbHo92anF2LBrRMiFFsANoTr9pump,fDe1tgiV93gdfaRENm5EUZgJHyeqrBPgEGzDU9RuALD,G7q2tvN68RhiZr3fgvawjJPxfG9VaDygcrZxQacrqgex,SOL/USDC unknown,unknown,unknown,pre_buy_funding_candidate,GMGN native_transfer L1,0.6,疑似资金来源候选；金额/时间需要链上补查
4TKYts6M7Y1RzW6xbHo92anF2LBrRMiFFsANoTr9pump,HXDtrYcBnDcBRWPit4pu8RuU3wvAAx6pngA1Vb1HZDDE,HGknt6Zz8NSHQWGtgoj1A8Jbi8Cr2vDVAVXnmLMmoNNF,SOL/USDC unknown,unknown,unknown,pre_buy_funding_candidate,GMGN native_transfer L1,0.6,疑似资金来源候选；金额/时间需要链上补查
4TKYts6M7Y1RzW6xbHo92anF2LBrRMiFFsANoTr9pump,Cc3bpPzUvgAzdW9Nv7dUQ8cpap8Xa7ujJgLdpqGrTCu6,J8A1VRV8MjiiQESvguYRTGeBMoyULQ7ocz3Y3LJqWLc8,SOL/USDC unknown,unknown,unknown,pre_buy_funding_candidate,GMGN native_transfer L1,0.6,疑似资金来源候选；金额/时间需要链上补查
4TKYts6M7Y1RzW6xbHo92anF2LBrRMiFFsANoTr9pump,2XTydGvB6NxFtG8eX4har7FSKAmAcfaBwPfwxTK41WLp,hCiVSbH8nKRm43S3YdUnMgBUCSNppQzBK7nt5bXAQDe,SOL/USDC unknown,unknown,unknown,pre_buy_funding_candidate,GMGN native_transfer L1,0.6,疑似资金来源候选；金额/时间需要链上补查
4TKYts6M7Y1RzW6xbHo92anF2LBrRMiFFsANoTr9pump,FUCKUgLJH9XtGVK9T4HWb3XDXjB8KdmVm6RMrhgXdaQE,niggerd597QYedtvjQDVHZTCCGyJrwHNm2i49dkm5zS,SOL/USDC unknown,unknown,unknown,pre_buy_funding_candidate,GMGN native_transfer L1,0.6,疑似资金来源候选；金额/时间需要链上补查
4TKYts6M7Y1RzW6xbHo92anF2LBrRMiFFsANoTr9pump,5Rq5PShTKexuXiuR5Bq7Hsx6T1BqWhXDWT7zB29Z8RdA,osakAfYp9QrJyR3h782jemZwj8ETDnNHXcGRVCsUUeJ,SOL/USDC unknown,unknown,unknown,pre_buy_funding_candidate,GMGN native_transfer L1,0.6,疑似资金来源候选；金额/时间需要链上补查
