doc_id,module,gap_type,detail
CURRENT_CONTEXT_baf6f9ba3568,audit,NOT_RUNTIME_CONNECTED,未与 runtime 主流程连接
CURRENT_CONTEXT_baf6f9ba3568,audit,NOT_VISIBLE_IN_TG,TG 中不可见
CURRENT_CONTEXT_baf6f9ba3568,audit,NOT_VISIBLE_IN_WEB,Web 中不可见
CURRENT_CONTEXT_baf6f9ba3568,audit,NO_TEST,缺少对应测试
CURRENT_CONTEXT_baf6f9ba3568,audit,NO_SOURCE_TRACE,缺少源文件或来源追踪
CURRENT_CONTEXT_baf6f9ba3568,audit,NO_ACCEPTANCE,缺少验收声明
CURRENT_CONTEXT_baf6f9ba3568,harness,MISSING_MODULE,模块在映射中缺失或未接入
CURRENT_CONTEXT_baf6f9ba3568,harness,SURFACE_TEMPLATE,缺失模块也没有表层模板
CURRENT_CONTEXT_baf6f9ba3568,harness,NOT_RUNTIME_CONNECTED,未与 runtime 主流程连接
CURRENT_CONTEXT_baf6f9ba3568,harness,NOT_VISIBLE_IN_TG,TG 中不可见
CURRENT_CONTEXT_baf6f9ba3568,harness,NOT_VISIBLE_IN_WEB,Web 中不可见
CURRENT_CONTEXT_baf6f9ba3568,harness,NO_TEST,缺少对应测试
CURRENT_CONTEXT_baf6f9ba3568,harness,NO_SOURCE_TRACE,缺少源文件或来源追踪
CURRENT_CONTEXT_baf6f9ba3568,harness,NO_ACCEPTANCE,缺少验收声明
CURRENT_CONTEXT_baf6f9ba3568,repomix_context,MISSING_MODULE,模块在映射中缺失或未接入
CURRENT_CONTEXT_baf6f9ba3568,repomix_context,SURFACE_TEMPLATE,缺失模块也没有表层模板
CURRENT_CONTEXT_baf6f9ba3568,repomix_context,NOT_RUNTIME_CONNECTED,未与 runtime 主流程连接
CURRENT_CONTEXT_baf6f9ba3568,repomix_context,NOT_VISIBLE_IN_TG,TG 中不可见
CURRENT_CONTEXT_baf6f9ba3568,repomix_context,NOT_VISIBLE_IN_WEB,Web 中不可见
CURRENT_CONTEXT_baf6f9ba3568,repomix_context,NO_TEST,缺少对应测试
CURRENT_CONTEXT_baf6f9ba3568,repomix_context,NO_SOURCE_TRACE,缺少源文件或来源追踪
CURRENT_CONTEXT_baf6f9ba3568,repomix_context,NO_ACCEPTANCE,缺少验收声明
CURRENT_CONTEXT_baf6f9ba3568,hermes_execution,MISSING_MODULE,模块在映射中缺失或未接入
CURRENT_CONTEXT_baf6f9ba3568,hermes_execution,SURFACE_TEMPLATE,缺失模块也没有表层模板
CURRENT_CONTEXT_baf6f9ba3568,hermes_execution,NOT_RUNTIME_CONNECTED,未与 runtime 主流程连接
CURRENT_CONTEXT_baf6f9ba3568,hermes_execution,NOT_VISIBLE_IN_TG,TG 中不可见
CURRENT_CONTEXT_baf6f9ba3568,hermes_execution,NOT_VISIBLE_IN_WEB,Web 中不可见
CURRENT_CONTEXT_baf6f9ba3568,hermes_execution,NO_TEST,缺少对应测试
CURRENT_CONTEXT_baf6f9ba3568,hermes_execution,NO_SOURCE_TRACE,缺少源文件或来源追踪
CURRENT_CONTEXT_baf6f9ba3568,hermes_execution,NO_ACCEPTANCE,缺少验收声明
